PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO285435,DEPARTMENT OF TRANSPORTATION,"UNIFORMS, BLENDED FABRIC 85",$5233.00,01/02/2009,MORGANS INC,900 RHODE ISLAND AVENUE NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO285464,DEPARTMENT OF EMPLOYMENT SERVICES,"TRAINING AND INSTRUCTION (FOR CLIENTS, NOT STAFF) 90",$6452.00,01/02/2009,OPPORTUNITIES INDUSTRIAL,3707 MLK AVENUE SE   ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO285422,OFFICE OF MUNICIPAL PLANNING,"TRAINING AND INSTRUCTION (FOR CLIENTS, NOT STAFF) 90",$5000.00,01/02/2009,RESOURCE DYNAMICS INC,;    ;    ;,,
PO285461,DEPARTMENT OF EMPLOYMENT SERVICES,"TRAINING AND INSTRUCTION (FOR CLIENTS, NOT STAFF) 90",$3450.00,01/02/2009,MILLENNIUM TRNG SERVICES INC,6475 NEW HAMPSHIRE AVENUE                          #5045  ; HYATTSVILLE  ; MD  ; 20783,HYATTSVILLE  ,MD
PO285452,METROPOLITAN POLICE DEPARTMENT,"OFFICE SUPPLIES, GENERAL 00",$16000.00,01/02/2009,BRANCH SUPPLY INCORPORATION,1050 17TH STREET NW SUITE 1000  ; WASHINGTON  ; DC  ; 20036-,WASHINGTON  ,DC
PO285428,DEPARTMENT OF PUBLIC WORKS,"COMPUTERS, PARTS AND SUPPLIES 29",$29810.00,01/02/2009,"HI-TECH SOLUTION, INC.","1300 PENNSYLANIA AVE, NW                           SUITE 700  ; WASHINGTON  ; DC  ; 20004",WASHINGTON  ,DC
PO285465,DEPARTMENT OF EMPLOYMENT SERVICES,"TRAINING AND INSTRUCTION (FOR CLIENTS, NOT STAFF) 90",$6170.00,01/02/2009,HEAVY EQUIPMENT TRNG ACADEMY,"2412 MINNESOTA AVENUE, SE   ; WASHINGTON  ; DC  ; 20020-",WASHINGTON  ,DC
PO285468,DEPARTMENT OF EMPLOYMENT SERVICES,"TRAINING AND INSTRUCTION (FOR CLIENTS, NOT STAFF) 90",$7850.00,01/02/2009,HEAVY EQUIPMENT TRNG ACADEMY,"2412 MINNESOTA AVENUE, SE   ; WASHINGTON  ; DC  ; 20020-",WASHINGTON  ,DC
PO282349-V2,DEPARTMENT OF EMPLOYMENT SERVICES,"TRAINING AND INSTRUCTION (FOR CLIENTS, NOT STAFF) 90",$3880.00,01/02/2009,VMT LONG TERM CARE MANAGEMENT,"4201 CONNECTICUT AVENUE, NW                        SUITE 208  ; WASHINGTON  ; DC  ; 20008",WASHINGTON  ,DC
PO285438,DEPARTMENT OF CORRECTIONS,"PASSENGER TRANSPORTATION SERVICES, SHIP OR FERRY 56",$2700.00,01/02/2009,WASH METRO AREA TRANSIT AUTH,600 5TH STREET NW  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO285509,OFFICE OF MUNICIPAL PLANNING,HISTORICAL STUDIES AND SERVICES 30,$10000.00,01/05/2009,D.C. PRESERVATION LEAGUE,401 F STREET NW #324  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO285483,OFFICE OF THE CHIEF FINANCIAL OFFICER,COPY MACHINE MAINTENANCE AND REPAIR 27,$18935.81,01/05/2009,XEROX CORPORATION,26600 SW PARKWAY AVENUE                            M/S 60-372  ; WILSONVILLE  ; OR  ; 97070,WILSONVILLE  ,OR
PO285532,OFFICE OF THE CHIEF FINANCIAL OFFICER,NEWSPAPER AND PUBLICATION ADVERTISING 71,$2779.20,01/05/2009,NORTHWEST CURRENT INC,5185 MACARTHUR BLVD NW                             SUITE 102  ; WASHINGTON  ; DC  ; 20016,WASHINGTON  ,DC
PO285539,METROPOLITAN POLICE DEPARTMENT,"PAPER, REPRODUCTION PROOFING 70",$89262.60,01/05/2009,XPEDX,7445 NEW RIDGE ROAD  ; HANOVER  ; MD  ; 21076,HANOVER  ,MD
PO285590,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32,$3711.25,01/05/2009,"SCHOLASTIC, INC.",557 BROADWAY 4TH FLOOR   ; NEW YORK  ; NY  ; 10012-,NEW YORK  ,NY
PO285526,DEPARTMENT OF PUBLIC WORKS,"BINS, CABINETS, AND SHELVES, OTHER THAN METAL OR WOOD (NOT OFFICE TYPE) 10",$5050.00,01/05/2009,MOBILE MINI INC.,7420 S. KYRENE ROAD                                SUITE 101  ; TEMPE  ; AZ  ; 85283-4610,TEMPE  ,AZ
PO285584,UNIVERSITY OF DISTRICT OF COLUMBIA,"EQUIPMENT MAINTENANCE, RECONDITIONING, AND REPAIR SERVICES - OFFICE, PHOTOGRAPHIC, AND RADIO/TELEVISION EQUIPMENT 00",$12441.34,01/05/2009,DELL COMPUTER CORP,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO285488,UNIVERSITY OF DISTRICT OF COLUMBIA,"COMPUTERS, PARTS AND SUPPLIES 29",$2826.06,01/05/2009,DELL COMPUTER CORP,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO285592,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32,$3027.54,01/05/2009,TONER EXPRESS USA INC,1818 NEW YORK AVENUE                               SUITE 222  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO276376-V2,DEPARTMENT OF HEALTH,"COPY MACHINE, PLAIN PAPER TYPE (INCLUDING COST-PER-COPY TYPE LEASES) RENTAL OR LEASE 26",$34264.32,01/05/2009,DIGI DOCS INC DOCUMENT MGERS,510 FLORIDA AVE NW   ; WASHINGTON  ; DC  ; 20001-,WASHINGTON  ,DC
PO285510,OFFICE OF MUNICIPAL PLANNING,HISTORICAL STUDIES AND SERVICES 30,$25000.00,01/05/2009,JAMES JACKSON,235 RHODE ISLAND AVENUE NW   ; WASHINGTON  ; DC  ; 20001-0001,WASHINGTON  ,DC
PO285545,UNIVERSITY OF DISTRICT OF COLUMBIA,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$50000.00,01/05/2009,"THE HOLLINS GROUP, INC.",225 WEST WACKER DRIVE SUITE 1575  ; CHICAGO  ; IL  ; 60660-1274,CHICAGO  ,IL
PO285544,UNIVERSITY OF DISTRICT OF COLUMBIA,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$52500.00,01/05/2009,"THE HOLLINS GROUP, INC.",225 WEST WACKER DRIVE SUITE 1575  ; CHICAGO  ; IL  ; 60660-1274,CHICAGO  ,IL
PO285577,OFFICE OF THE CHIEF FINANCIAL OFFICER,COMPUTER HARDWARE CONSULTING 28,$19000.00,01/05/2009,TRINTECH INC,15851 DALLAS PARKWAY                               SUITE 940  ; ADDISON  ; TX  ; 75001,ADDISON  ,TX
PO285541,DEPARTMENT OF HEALTH,LOAN ADMINISTRATION 60,$21600.00,01/05/2009,ANDRIENNE CHARLES,4403 30TH STREET  ; MOUNT RAINIER   ; MD  ; 20712,MOUNT RAINIER   ,MD
PO285574,OFFICE OF THE CHIEF FINANCIAL OFFICER,"FILING CABINETS, METAL: CARD, JUMBO, LATERAL, LEGAL, AND LETTER 40",$2949.95,01/05/2009,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO285549,UNIVERSITY OF DISTRICT OF COLUMBIA,"TELEPHONE SERVICES, CELLULAR 75",$60000.00,01/05/2009,VERIZON WIRELESS,7600 MONTPELIER ROAD  ; LAUREL  ; MD  ; 20723,LAUREL  ,MD
PO285606,DEPARTMENT OF HEALTH,"LABORATORY EQUIPMENT AND ACCESSORIES (FOR GENERAL ANALYTICAL AND RESEARCH USE): NUCLEAR, OPTICAL, AND PHYSICAL 00",$4000.50,01/05/2009,"SUPRETECH, INC.","7600 GEORGIA AVENUE, NW #LL  ; WASHINGTON  ; DC  ; 20012-",WASHINGTON  ,DC
PO277647-V3,OFFICE OF MUNICIPAL PLANNING,"CREDIT CARD, CHARGE CARD SERVICES 35",$7718.15,01/05/2009,US BANK GOVERNMENT SERVICES,"4325 17TH AVE SW  ; FARGO,  ; ND  ; 58103","FARGO,  ",ND
PO285556,DEPARTMENT OF TRANSPORTATION,ENGINEERING CONSULTING 42,$2282889.23,01/05/2009,HNTB DISTRICT OF COLUMBIA PC,300 M STREET S.E.                                  SUITE 800  ; WASHINGTON  ; DC  ; 20003,WASHINGTON  ,DC
PO285497,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$4628336.80,01/05/2009,HESS CONSTRUCTION CO. INC.,804 WEST DIAMOND AVENUE                            SUITE 300  ; GAITHERSBURG  ; MD  ; 20878,GAITHERSBURG  ,MD
PO285564,DEPARTMENT OF PUBLIC WORKS,"ARCHIVAL STORAGE MATERIALS (ACID FREE): DOCUMENT CASES, ENVELOPES, FILE FOLDERS, ETC. 05",$8772.00,01/05/2009,EXTRA SPACE MANAGEMENT INC,"2795 E COTTONWOOD PKWY, #400  ; SALT LAKE CITY  ; UT  ; 84121",SALT LAKE CITY  ,UT
PO285569,FIRE AND EMERGENCY MEDICAL SERVICES,"CARDIOVASCULAR INSTRUMENTATION: DEFIBRILLATORS, HEART PUMPS, MONITORING EQUIPMENT, ETC. 14",$258478.50,01/05/2009,PHYSIO-CONTROL CORPORATION,11811 WILLOWS ROAD NORTHEAST   ; REDMOND  ; WA  ; 98053-,REDMOND  ,WA
PO284346,DEPARTMENT OF PUBLIC WORKS,SOLID OR LIQUID WASTE DISPOSAL (INCLUDING MANAGEMENT SERVICES) (SEE 962-45 FOR HAZARDOUS WASTE DISPOSAL) 71,$2880000.00,01/05/2009,DIRECTOR OF FINANCE COUNTY OF,12000 GOVERNMENT CTR. PKWY  ; FAIRFAX  ; VA  ; 22035,FAIRFAX  ,VA
PO285493,DEPARTMENT ON DISABILITY SERVICES,COMPUTER ACCESSORIES AND SUPPLIES 00,$3495.00,01/05/2009,DUPONT COMPUTERS,"1761 S STREET, N.W.  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO285576,OFFICE OF THE CHIEF FINANCIAL OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$38960.00,01/05/2009,DATAFLUX CORPORATION,4001 WESTON PARKWAY                                SUITE 300  ; CARY  ; NC  ; 27513,CARY  ,NC
PO285605,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"COURSE DEVELOPMENT SERVICES, INSTRUCTIONAL/TRAINING 16",$6000.00,01/05/2009,LONG VIEW ASSOCIATES LLC,607 RALEIGH PLACE SE  ; WASHINGTON  ; DC  ; 20032,WASHINGTON  ,DC
PO285608,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FURNITURE 46,$8953.49,01/05/2009,NATIONAL BUSINESS FURNITURE,735 NORTH WATER STREET  ; MILWAUKEE  ; WI  ; 53203,MILWAUKEE  ,WI
PO285507,OFFICE OF MUNICIPAL PLANNING,HISTORICAL STUDIES AND SERVICES 30,$7280.00,01/05/2009,TARRY ALLEN,"1630 U STREET, SE  ; WASHINGTON  ; DC  ; 20020-0020",WASHINGTON  ,DC
PO285512,OFFICE OF MUNICIPAL PLANNING,HISTORICAL STUDIES AND SERVICES 30,$19249.50,01/05/2009,GARI MAYBERRY,"430 RIDGE STREET, NW  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO285502,DEPARTMENT OF EMPLOYMENT SERVICES,"DATA PROCESSING, COMPUTER, AND SOFTWARE SERVICES 00",$240000.00,01/05/2009,"HCL AMERICA, INC.",330 POLRERO AVENUE  ; SUNNYVALE  ; CA  ; 94085,SUNNYVALE  ,CA
PO285527,SPECIAL EDUCATION TRANSPORTATION,RENTAL OR LEASE OF EQUIPMENT - GENERAL EQUIPMENT 00,$88135.39,01/05/2009,"WILLIAMS SCOTSMAN, INC",2460 OLD WASHINGTON ROAD  ; WALDORF  ; MD  ; 20601,WALDORF  ,MD
PO282353,OFFICE OF LATINO AFFAIRS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$50000.00,01/05/2009,ANDROMEDA TRANSCULTURAL,"1400 DECATUR STREET, NW  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO285587,UNIVERSITY OF DISTRICT OF COLUMBIA,COMPUTER HARDWARE CONSULTING 28,$4523.00,01/05/2009,IMAGEX INC,1985 ISAAC NEWTON SQUARE  ; RESTON  ; VA  ; 20190,RESTON  ,VA
PO285571,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"PENS, MARKER TYPE (INCLUDING HIGHLIGHTER TYPES) 90",$3221.48,01/05/2009,GATEKEEPERS INTERNET MARKETING,1654 - 33RD ST. NW  ; WASHINGTON  ; DC  ; 20007,WASHINGTON  ,DC
PO270746-V3,OFFICE OF THE CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$51480.00,01/05/2009,ENLIGHTENED INC,666 11TH ST NW SUITE 520  ; WASHINGTON  ; DC  ; 20001-,WASHINGTON  ,DC
PO285511,OFFICE OF MUNICIPAL PLANNING,HISTORICAL STUDIES AND SERVICES 30,$35000.00,01/05/2009,WINIFRED C. DOWD,"2126 13TH STREET, SE  ; WASHINGTON  ; DC  ; 20020-0020",WASHINGTON  ,DC
PO280664,DEPARTMENT OF REAL ESTATE SERVICES,JANITORIAL/CUSTODIAL SERVICES 39,$188940.00,01/05/2009,HORTON AND BARBER CONSTRUCTION,3127 MARTIN LUTHER KING JR. AV  ; WASHINGTON  ; DC  ; 20032,WASHINGTON  ,DC
PO285513,OFFICE OF MUNICIPAL PLANNING,HISTORICAL STUDIES AND SERVICES 30,$32645.00,01/05/2009,ELLA M. GREENFIELD,"1229 V STREET, SE  ; WASHINGTON  ; DC  ; 20020",WASHINGTON  ,DC
PO285565,SPECIAL EDUCATION TRANSPORTATION,"OFFICE SUPPLIES, GENERAL 00",$10000.00,01/05/2009,BRANCH SUPPLY INCORPORATION,1050 17TH STREET NW SUITE 1000  ; WASHINGTON  ; DC  ; 20036-,WASHINGTON  ,DC
PO285601,SPECIAL EDUCATION TRANSPORTATION,"OFFICE SUPPLIES, GENERAL 00",$20000.00,01/05/2009,MDM OFFICE SYSTEMS DBA,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
PO285501,DEPARTMENT OF PUBLIC WORKS,"FURNITURE, SPECIAL: CHAIRS, STANDS, STOOLS, ETC. (FOR BEDS SEE CLASS 410) 45",$50000.00,01/05/2009,MDM OFFICE SYSTEMS DBA,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
PO285598,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"TRAINING AND INSTRUCTION (FOR CLIENTS, NOT STAFF) 90",$6000.00,01/05/2009,MARY BETH CROWDER-MEIER,11773 ALEXANDER HAYS RD  ; BRISTOW  ; VA  ; 20136,BRISTOW  ,VA
PO285563,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$6000.00,01/05/2009,MARY BETH CROWDER-MEIER,11773 ALEXANDER HAYS RD  ; BRISTOW  ; VA  ; 20136,BRISTOW  ,VA
PO284516,HOMELAND SECURITY/EMERGENCY MANAGEMENT,"AUTOMOTIVE AND TRAILER BODIES, ACCESSORIES, AND PARTS 00",$2710.00,01/05/2009,JESSE R AUSTIN INC,10214 LANHAM SEVERN RD  ; LANHAM  ; MD  ; 20706,LANHAM  ,MD
PO285611,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,VISUAL EDUCATION EQUIPMENT AND SUPPLIES (EXCEPT PROJECTION LAMPS -SEE CLASS 285) 00,$6041.83,01/05/2009,METROPOLITAN OFFICE PRODUCTS,910 BARNABY ST SE # 201  ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO278780-V2,LOTTERY & CHARITABLE GAMES CONTROL BOARD,MEMBERSHIP DUES 48,$32500.00,01/05/2009,DELAWARE COUNCIL GAMBLING PRBM,100 WEST 10TH STREET                               SUITE 303  ; WILLMINGTON  ; DE  ; 19801-1677,WILLMINGTON  ,DE
PO285504,DEPARTMENT OF REAL ESTATE SERVICES,CONSULTING SERVICES 00,$126425.00,01/05/2009,DYNAMIC CONCEPTS INC,"1730 17TH STREET, NE   ; WASHINGTON  ; DC  ; 20002-",WASHINGTON  ,DC
PO285603,DEPARTMENT OF MOTOR VEHICLES,"COPY MACHINE, PLAIN PAPER TYPE (INCLUDING COST-PER-COPY TYPE LEASES) RENTAL OR LEASE 26",$31697.68,01/05/2009,XEROX CORPORATION,26600 SW PARKWAY AVENUE                            M/S 60-372  ; WILSONVILLE  ; OR  ; 97070,WILSONVILLE  ,OR
PO285481,DEPARTMENT OF HEALTH,COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS 00,$5950.00,01/05/2009,CORPORATE SYSTEMS RESOURCES,"1200 G STREET, NW SUITE 800   ; WASHINGTON  ; DC  ; 20005-",WASHINGTON  ,DC
PO279455,CHILD AND FAMILY SERVICES AGENCY,FINANCIAL SERVICES 00,$7500.00,01/05/2009,WACHOVIA BANK NATIONAL ASSOCIA,1753 PINNACLE DRIVE                                3RD FLOOR SOUTH TOWER  ; MCLEAN  ; VA  ; 22102-4099,MCLEAN  ,VA
PO285506,EQUIPMENT LEASE - CAPITAL,"PASSENGER VEHICLES, ELECTRIC 23",$97919.50,01/05/2009,GENERAL SERVICE ADMINISTRATION,1500 EAST BANNISTER ROAD  ; KANSAS CITY  ; MD  ; 64131,KANSAS CITY  ,MD
PO285551,UNIVERSITY OF DISTRICT OF COLUMBIA,GRAPHIC ART TYPE SUPPLIES 53,$3685.18,01/05/2009,"PENN CAMERA EXCHANGE, INC",7040 VIRGINIA MANOR ROAD   ; BELTSVILLE  ; MD  ; 20705-,BELTSVILLE  ,MD
PO285179,DEPARTMENT OF PUBLIC WORKS,AUDITING 20,$33242.00,01/05/2009,BERT SMITH & COMPANY,"1090 VERMONT AVE., NW SUITE 920  ; WASHINGTON  ; DC  ; 20005-",WASHINGTON  ,DC
PO285553,METROPOLITAN POLICE DEPARTMENT,"OFFICE SUPPLIES, GENERAL 00",$15000.00,01/05/2009,METROPOLITAN OFFICE PRODUCTS,910 BARNABY ST SE # 201  ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO285485,LOTTERY & CHARITABLE GAMES CONTROL BOARD,"MARKETING SERVICES (INCL. DISTRIBUTION, RESEARCH, SALES PROMOTIONS, ETC.) 53",$6922.00,01/05/2009,ARBITRON INC.,9705 PATUXENT WOODS DRIVE  ; COLUMBIA  ; MD  ; 21046,COLUMBIA  ,MD
PO285486,OFFICE OF THE CHIEF FINANCIAL OFFICER,CONSULTING SERVICES 00,$54977.70,01/05/2009,DELOITTE AND TOUCHE LLP,1750 TYSONS BLVD  ; MCLEAN  ; VA  ; 22102-4219,MCLEAN  ,VA
PO285543,DEPARTMENT OF HUMAN SERVICES,"COPY MACHINE, PLAIN PAPER TYPE (INCLUDING COST-PER-COPY TYPE LEASES) RENTAL OR LEASE 26",$6239.52,01/05/2009,XEROX CORPORATION,26600 SW PARKWAY AVENUE                            M/S 60-372  ; WILSONVILLE  ; OR  ; 97070,WILSONVILLE  ,OR
PO282156-V2,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSULTING SERVICES 00,$25000.00,01/05/2009,BUSINESS STRATEGY CONSULTANTS,9701 APOLLO DRIVE SUITE 445  ; LARGO  ; MD  ; 20774-,LARGO  ,MD
PO285554,DEPARTMENT OF TRANSPORTATION,"CONSTRUCTION, STREET (MAJOR AND RESIDENTIAL)(INCLUDES RECONSTRUCTION) 50",$6152.00,01/05/2009,NATIONAL CAPITAL INDUSTRIES,3420 KENILWORTH AVENUE  ; BLADENSBURG  ; MD  ; 20710,BLADENSBURG  ,MD
PO285529,OFFICE OF THE CHIEF FINANCIAL OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$35141.00,01/05/2009,TRINTECH INC,15851 DALLAS PARKWAY                               SUITE 940  ; ADDISON  ; TX  ; 75001,ADDISON  ,TX
PO285676,DEPARTMENT OF HEALTH,TOKENS 88,$8000.00,01/06/2009,WASH METRO AREA TRANSIT AUTH,600 5TH STREET NW  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO285633,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$131060.25,01/06/2009,TREE OF LIFE COMMUNITY PCS,2315 18TH PLACE NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO285686,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CONSULTING SERVICES 00,$340000.00,01/06/2009,PUBLIC CONSULTING GRP INC,148 STATE ST                                       10TH FLOOR  ; BOSTON  ; MA  ; 02109,BOSTON  ,MA
PO271996-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$15000.00,01/06/2009,ROSEMOUNT CENTER,"2000 ROSEMOUNT AVENUE, NW  ; WASHINGTON  ; DC  ; 20010",WASHINGTON  ,DC
PO285629,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$9840.00,01/06/2009,PETER LOWENTHAL,4707 ELMHIRST LANE  ; BETHESDA  ; MD  ; 20814,BETHESDA  ,MD
PO285637,OFFICE OF UNIFIED COMMUNICATIONS,CONSTRUCTION CONSULTING 31,$5050.00,01/06/2009,SIBLEY MEMORIAL HOSPITAL,"5255 LOUGHBORO ROAD, NW  ; WASHINGTON  ; DC  ; 20016",WASHINGTON  ,DC
PO285690,OFFICE OF UNIFIED COMMUNICATIONS,"TWO-WAY RADIO, PORTABLE, INCLUDING VEHICLE RADIO RELAY SYSTEMS 74",$9600.00,01/06/2009,WIRELESS COMMUNICATIONS INC,1083 OLD SULPHUR SPRING ROAD   ; BALTIMORE  ; MD  ; 21227-,BALTIMORE  ,MD
PO285713,DEPARTMENT OF CORRECTIONS,"FOOD ADMINISTRATIVE SERVICES (INCL. POLICY, STANDARDS, EVALUATION, ETC.) 36",$5040.00,01/06/2009,LALITA KAUL,11009 PETERSBOROUGH DRIVE  ; ROCKVILLE  ; MD  ; 20852,ROCKVILLE  ,MD
PO271997-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$10000.00,01/06/2009,LT JOSEPH P KENNEDY INSTITUTE,"801 BUCHANAN STREET, NE   ; WASHINGTON  ; DC  ; 20017-",WASHINGTON  ,DC
PO285684,DEPARTMENT OF HUMAN SERVICES,STRATEGIC TECHNOLOGY PLANNING AND CONSULTING SERVICES 90,$16170.28,01/06/2009,"DATA BUILDERS, INC.",41689 ENTERPRISE CIRCLE NORTH                      SUITE 126  ; TEMECULA  ; CA  ; 92590,TEMECULA  ,CA
PO272003-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SERVICE AWARDS, SPECIALTY TYPE 65",$196000.00,01/06/2009,MARY'S CTR MATERNAL CHILD CARE,2333 ONTARIO RD NW   ; WASHINGTON  ; DC  ; 20009-,WASHINGTON  ,DC
