PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO319479,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$6700.00,01/04/2010,KET ENTERPRISE DIVISION,560 COOPER DRIVE  ; LEXINGTON  ; KY  ; 40502-2200,LEXINGTON  ,KY
PO299464-V3,DEPARTMENT OF REAL ESTATE SERVICES,ARCHITECTURAL CONSULTING 15,$210781.30,01/04/2010,"DANIEL, MANN, JOHNSON & MENDEN",3101 WILSON BOULEVARD                              SUITE 900  ; ARLINGTON  ; VA  ; 22201,ARLINGTON  ,VA
PO319489,LOTTERY & CHARITABLE GAMES CONTROL BOARD,"MEDIA CLIPPING SERVICES: CLIPPINGS, OUTTAKES, CRITIQUES, SUMMARIES, ETC.(INCL. STATE, LOCAL, OUT-OF-STATE AND INTERNATIONAL) 64",$16163.00,01/04/2010,"VOCUS, INC.",4296 FORBES BLVD.  ; LANHAM  ; MD  ; 20706,LANHAM  ,MD
PO213880-V2,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$64935.00,01/04/2010,EASTBANC TECHNOLOGIES,3312 M STREET NW SECOND FLOOR  ; WASHINGTON  ; DC  ; 20007-,WASHINGTON  ,DC
PO319550,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,JANITORIAL EQUIPMENT MAINTENANCE AND REPAIR 39,$5000.00,01/04/2010,ARIE'S SUPPLY INC,3921 SOUTH CAPITOL STREET SW                       SUITE 5  ; WASHINGTON  ; DC  ; 20032,WASHINGTON  ,DC
PO223065-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$24453.00,01/04/2010,DBTS,"1100 H STREET, NW                                  SUITE 600  ; WASHINGTON,  ; DC  ; 20005","WASHINGTON,  ",DC
PO261887-V3,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$80164.00,01/04/2010,"NEW LIGHT TECHNOLOGIES, INC.",7412 ALASKA AVENUE NW   ; WASHINGTON  ; DC  ; 20012-,WASHINGTON  ,DC
PO316751-V2,DC PUBLIC LIBRARY,"ADVERTISING, OUTDOOR BILLBOARD, ETC. 04",$10000.00,01/04/2010,RADIO ONE INC.,5900 PRINCES GARDEN PARKWAY                        SUITE 800  ; LANHAM  ; MD  ; 20706,LANHAM  ,MD
PO319480,FIRE AND EMERGENCY MEDICAL SERVICES,MEDICAL AND DENTAL EQUIPMENT AND SUPPLIES 67,$15875.52,01/04/2010,"DHHS, PSC, DPM","PSC, FMS RM 16A-12 5600 FISHERS LANE   ; ROCKVILLE  ; MD  ; 20857-",ROCKVILLE  ,MD
PO319513,TAXI CAB COMMISSION,"VIDEO MEDIA  DUPLICATING AND PRODUCTION SERVICES (INCLUDING CD ROMS, TAPES, ETC.) 90",$6150.00,01/04/2010,BLUEBOY BLUEPRINTING CORP,"214 L STREET, NE                                   SUITE 311  ; WASHINGTON  ; DC  ; 20005",WASHINGTON  ,DC
PO319555,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,RESOURCE BOOKS AND MATERIALS (NOT OTHERWISE CLASSIFIED) 87,$9840.85,01/04/2010,TEMPO BOOKSTORE,4905 WISCONSIN AVENUE NW  ; WASHINGTON  ; DC  ; 20016,WASHINGTON  ,DC
PO319475,DC PUBLIC LIBRARY,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$50000.00,01/04/2010,JOAN FRYE WILLIAMS,2443 FAIR OAKS BLVD #109  ; SACRAMENTO  ; CA  ; 95825,SACRAMENTO  ,CA
PO319491,OFFICE OF CHIEF FINANCIAL OFFICER,"SCANNERS AND READERS, MAGNETIC STRIP 89",$17160.00,01/04/2010,INTREPID TECHNICAL SERVICES IN,6621-A ELECTRONIC DR.  ; SPRINGFIELD  ; VA  ; 22151,SPRINGFIELD  ,VA
PO319512,"DEPART OF INSURANCE,SECURITIES & BANKING","OFFSET PRINTING, GENERAL, LARGE PRESS WORK (QUAN. UP TO 100,000); ONE OR MORE COLORS, CLOSE REGISTRATION REQUIRED, NO 4-COLOR PROCESSES, FINISHED SIZES MAY EXCEED 8-1/2 X 11 IN., NEWSLETTERS, ETC. 68",$4908.00,01/04/2010,THE WASHINGTON INFORMER,"3117 M.L. KING AVENUE, SE  ; WASHINGTON  ; DC  ; 20032",WASHINGTON  ,DC
PO311332-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,TELECOMMUNICATIONS CONSULTING 95,$47520.00,01/04/2010,DOCUMENT SYSTEMS INC,"333 HAWAII AVENUE, NE                              SUITE 200  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO317138-V2,DEPARTMENT OF HEALTH,EMPLOYMENT AGENCY AND SEARCH FIRM SERVICES (INCLUDING BACKGROUND INVESTIGATIONS AND DRUG TESTING FOR EMPLOYMENT) 30,$30000.00,01/04/2010,ANSWER STAFFING,1325 G STREET NW SUITE 500  ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO319511,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$439973.00,01/04/2010,"MCN BUILD, LLC",3143 N STREET NW  ; WASHINGTON  ; DC  ; 20007-0007,WASHINGTON  ,DC
PO207223-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$55000.00,01/04/2010,INTEGRATED TECHNICAL SOLUTIONS,"1101 30TH STREET, NW                               SUITE 500  ; WASHINGTON  ; DC  ; 20007",WASHINGTON  ,DC
PO207222-V2,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$44110.00,01/04/2010,INTEGRATED TECHNICAL SOLUTIONS,"1101 30TH STREET, NW                               SUITE 500  ; WASHINGTON  ; DC  ; 20007",WASHINGTON  ,DC
PO319477,DEPARTMENT OF TRANSPORTATION,TRANSPORTATION CONSULTING 96,$6364.00,01/04/2010,RYAN PUBLISHING AND PUBLICATIO,"3003 VAN NESS STREET, NW                           W203  ; WASHINGTON  ; DC  ; 20008",WASHINGTON  ,DC
PO319478,OFF PUBLIC ED FACILITIES MODERNIZATION,FURNITURE 46,$21048.93,01/04/2010,NATIONAL BUSINESS FURNITURE,735 NORTH WATER STREET  ; MILWAUKEE  ; WI  ; 53203,MILWAUKEE  ,WI
PO319493,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$32000.00,01/04/2010,"PACER CENTER, INC.","PACER CENTER, INC.                                 8161 NORMANDALE BLVD.  ; MINNEAPOLIS  ; MN  ; 55437",MINNEAPOLIS  ,MN
PO319529,DEPARTMENT OF MOTOR VEHICLES,SOFTWARE MAINTENANCE/SUPPORT 45,$11702.60,01/04/2010,LASON,1220 KILN COURT  ; BELTSVILLE  ; MD  ; 20704,BELTSVILLE  ,MD
PO319497,OFFICE OF THE CHIEF MEDICAL EXAMINER,LABORATORY EQUIPMENT 57,$32730.00,01/04/2010,ORASURE TECHNOLOGIES,220 EAST 1ST  ; BETHLEHEM  ; PA  ; 18015,BETHLEHEM  ,PA
PO319524,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,COMPUTER AIDED DESIGN SERVICES 18,$2700.00,01/04/2010,PLATO LEARNING INC,10801 NESBITT AVESOUTH  ; BLOOMINGTON  ; MN  ; 55437,BLOOMINGTON  ,MN
PO319482,LOTTERY & CHARITABLE GAMES CONTROL BOARD,ADMINISTRATIVE CONSULTING 06,$3750.00,01/04/2010,CHRISTIANSEN CAPITAL ADVISORS,170 SAWYER ROAD  ; NEW GLOUCESTER  ; ME  ; 04260,NEW GLOUCESTER  ,ME
PO319515,OFFICE OF CHIEF FINANCIAL OFFICER,"POSTAGE RELATED PURCHASES (INCL. POSTAGE STAMPS, PRE-SORT 1ST CLASS INSCRIPTIONS, POSTAGE BY PHONE FOR METERS, ETC.) 57",$28354.67,01/04/2010,POST MASTER,1200 PENNSYLVANIA AVE. NW  ; WASHINGTON  ; DC  ; 20004,WASHINGTON  ,DC
PO319533,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$5338.80,01/04/2010,"MICROEDGE, INC.",619 WEST 54TH STREET 10TH FLOOR  ; NEW YORK  ; NY  ; 10019-,NEW YORK  ,NY
PO319534,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$396771.00,01/04/2010,TURNER CONSTRUCTION COMPANY,3865 WILSON BLVD. SUITE 300   ; ARLINGTON  ; VA  ; 22203-1764,ARLINGTON  ,VA
PO319554,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"TEXTBOOKS, ADULT EDUCATION 83",$2855.50,01/04/2010,BARNES & NOBLE BOOKSELLERS INC,122 FIFTH AVE   ; NEW YORK  ; NY  ; 10011-,NEW YORK  ,NY
PO319549,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32,$20000.00,01/04/2010,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO319551,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,,$8000.00,01/04/2010,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO319481,FIRE AND EMERGENCY MEDICAL SERVICES,"FIRE PROTECTION CLOTHING (TURNOUT COATS, BUNKER PANTS, HOODS, GLOVES, ETC.) 34",$24807.87,01/04/2010,"ALL HANDS FIRE EQUIPMENT, LLC",506 ATKINS AVENUE  ; NEPTUNE  ; NJ  ; 07753,NEPTUNE  ,NJ
PO319622,OFFICE OF JUSTICE GRANTS ADMINISTRATION,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$350000.00,01/05/2010,TIME DOLLAR YOUTH COURT INC.,510 4TH STREET NW SUITE #303   ; WASHINGTON  ; DC  ; 20001-,WASHINGTON  ,DC
PO319629,OFFICE OF JUSTICE GRANTS ADMINISTRATION,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$375000.00,01/05/2010,VERA INST. OF JUSTICE INC.,233 BROADWAY 12TH FLOOR  ; NEW YORK  ; NY  ; 10279-,NEW YORK  ,NY
PO319603,DEPARTMENT OF CORRECTIONS,"PUNCHES, PAPER, MANUAL 67",$31501.60,01/05/2010,BRANCH SUPPLY INCORPORATION,1050 17TH STREET NW SUITE 1000  ; WASHINGTON  ; DC  ; 20036-,WASHINGTON  ,DC
PO319628,OFFICE OF JUSTICE GRANTS ADMINISTRATION,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$284038.00,01/05/2010,ARISE FOUNDATION,"824 U.S. HIGHWAY 1, SUITE 240   ; NORTH PALM BEACH  ; FL  ; 33408-",NORTH PALM BEACH  ,FL
PO319618,DEPARTMENT OF EMPLOYMENT SERVICES,"MANUALS: PARTS, PERSONNEL, POLICY, PURCHASING, TRAINING, ETC., NOT OTHERWISE CLASSIFIED 47",$17500.00,01/05/2010,THE AQUILINE GROUP,1801 COLUMBIA ROAD NW SUITE 101  ; WASHINGTON  ; DC  ; 20009-,WASHINGTON  ,DC
PO319566,DEPARTMENT OF TRANSPORTATION,TRANSPORTATION CONSULTING 96,$800000.00,01/05/2010,FEDERAL HIGHWAY ADMINISTRATION,4600 NORTH FAIRFAX DRIVE SUITE  ; ARLINGTON  ; VA  ; 22203,ARLINGTON  ,VA
PO319558,FIRE AND EMERGENCY MEDICAL SERVICES,MEDICAL AND DENTAL EQUIPMENT AND SUPPLIES 67,$18142.27,01/05/2010,"BOCALJE SERVICES, INC.",3215 M. L. K. JR.AVE S.E.   ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO316183,DEPARTMENT OF HEALTH,PROFESSIONAL MEDICAL SERVICES (INCLUDING PHYSICIANS AND ALL SPECIALTIES) 74,$30000.00,01/05/2010,THE UNIVERSITY OF MD,201 W. PRESTON STREET   ; BALTIMORE  ; MD  ; 21201-,BALTIMORE  ,MD
PO231541-V2,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$20691.00,01/05/2010,LIMBIC SYSTEMS INC,2300 M STREET NW                                   SUITE 800  ; WASHINGTON  ; DC  ; 20037,WASHINGTON  ,DC
PO319646,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,$3177333.00,01/05/2010,FIRST HOME CARE CORPORATION,1012 14TH STREET NW                                SUITE 1400  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO319625,OFFICE OF JUSTICE GRANTS ADMINISTRATION,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$77667.00,01/05/2010,URBAN ED INC,2041 MLK JR. AVENUE SUITE M-2  ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO319597,DEPARTMENT OF TRANSPORTATION,HIGHWAYS; STREETS; AIRPORT PAY-PARKING LOTS - ARCHITECTURAL 46,$6225952.00,01/05/2010,THE LPA GROUP INC.,700 HUGER STREET PO BOX 5805  ; COLUMBIA  ; SC  ; 29201,COLUMBIA  ,SC
PO257198-V2,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$24255.00,01/05/2010,EASTBANC TECHNOLOGIES,3312 M STREET NW SECOND FLOOR  ; WASHINGTON  ; DC  ; 20007-,WASHINGTON  ,DC
PO219544-V3,DEPARTMENT OF REAL ESTATE SERVICES,"BUILDING CONSTRUCTION, COMMERCIAL AND INSTITUTIONAL 24",$915719.09,01/05/2010,GARCETE CONSTRUCTION CO.,"7600 GEORGIA AVENUE., NW                           #306  ; WASHINGTON  ; DC  ; 20012",WASHINGTON  ,DC
PO319592,FIRE AND EMERGENCY MEDICAL SERVICES,COMPUTER SOFTWARE CONSULTING 29,$4794.00,01/05/2010,ZIVIC AND HURDLE ARCH. P.C.,4031 UNIVERSITY DRIVE   ; FAIRFAX  ; VA  ; 22030-,FAIRFAX  ,VA
PO224530-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,ADMINISTRATIVE CONSULTING 06,$34522.25,01/05/2010,DBTS,"1100 H STREET, NW                                  SUITE 600  ; WASHINGTON,  ; DC  ; 20005","WASHINGTON,  ",DC
PO223062-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$19470.00,01/05/2010,DBTS,"1100 H STREET, NW                                  SUITE 600  ; WASHINGTON,  ; DC  ; 20005","WASHINGTON,  ",DC
PO224864-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$24602.50,01/05/2010,DBTS,"1100 H STREET, NW                                  SUITE 600  ; WASHINGTON,  ; DC  ; 20005","WASHINGTON,  ",DC
PO223446-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$22659.00,01/05/2010,CAMILLE CONSULTING GROUP INC.,"2819 12TH STREET, NE.  ; WASHINGTON  ; DC  ; 20017",WASHINGTON  ,DC
PO319623,OFFICE OF JUSTICE GRANTS ADMINISTRATION,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$342588.00,01/05/2010,OFFENDER AID AND RESTORATION,"1400 N. UHLE STREET, SUITE 704  ; ARLINGTON  ; VA  ; 22210",ARLINGTON  ,VA
PO319634,DEPARTMENT OF TRANSPORTATION,,$93624.48,01/05/2010,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO318822,DEPARTMENT OF HEALTH,ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05,$225000.00,01/05/2010,ANDROMEDA TRANSCULTURAL,"1400 DECATUR STREET, NW  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO222278-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$598124.88,01/05/2010,"ALIGNED DEV. STRATEGIES, INC.","1900 L STREET, NW                                  SUITE 600  ; WASHINGTON  ; DC  ; 20006",WASHINGTON  ,DC
PO319635,DISTRICT DEPARTMENT OF THE ENVIRONMENT,MEMBERSHIP DUES 48,$4500.00,01/05/2010,THE FERGUSON GROUP LLC,"1130 CONNECTICUT AVENUE, NW SUITE 300  ; WASHINGTON  ; DC  ; 20036",WASHINGTON  ,DC
PO319619,DEPARTMENT OF TRANSPORTATION,ELECTRICAL 38,$9000.00,01/05/2010,"C&E SERVICES, INC. OF WASHINGTON",1224 W STREET SE   ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO319596,FIRE AND EMERGENCY MEDICAL SERVICES,RECYCLED OFFICE SUPPLIES 73,$7190.00,01/05/2010,MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
PO319610,COUNCIL OF THE DISTRICT OF COLUMBIA,RECYCLED FERTILIZER AND SOIL CONDITIONERS 69,$24474.00,01/05/2010,MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
PO319630,OFFICE OF JUSTICE GRANTS ADMINISTRATION,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$333000.00,01/05/2010,LATIN AMERICAN YOUTH CENTER,1419 COLUMBIA ROAD NW  ; WASHINGTON  ; DC  ; 20009,WASHINGTON  ,DC
PO319616,DEPT OF SMALL & LOCAL BUSINESS DEVELOPMT,COPY MACHINE MAINTENANCE AND REPAIR 27,$6525.00,01/05/2010,"ENCORE BUSINESS SYSTEMS , INC.",611 COMMERCE DRIVE  ; UPPER MARLBORO  ; MD  ; 20774-8782,UPPER MARLBORO  ,MD
PO319605,FIRE AND EMERGENCY MEDICAL SERVICES,"PRINTING ACCESSORIES AND SUPPLIES (INCL. ELECTROSTATIC TYPES): BLANKETS, CHEMICALS, GUM, INKS, MATS, NEGATIVES, PLATES, ROLLER COVERS, RUBBER REJUVENATORS, SLEEVES, ETC. (SEE  700-30 FOR GRAPHIC ART SUPPLIES) 57",$12272.00,01/05/2010,LASER ART INC,2209 CHANNING STREET NE PO BOX 41083  ; WASHINGTON  ; DC  ; 20018-0483,WASHINGTON  ,DC
PO303059-V2,FIRE AND EMERGENCY MEDICAL SERVICES,"ARCHITECT SERVICES, PROFESSIONAL 07",$437858.00,01/05/2010,DEVROUX & PURNELL ARCHITECT/PL,717 D STREET NW                                    5TH FLOOR  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO319593,FIRE AND EMERGENCY MEDICAL SERVICES,"ARCHITECT SERVICES, PROFESSIONAL 07",$2850.00,01/05/2010,MCKISSACK & MCKISSACK OF WASH,1401 NEW YORK AVENUE SUITE 900  ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO319624,OFFICE OF JUSTICE GRANTS ADMINISTRATION,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$300925.00,01/05/2010,SURVIVORS & ADVOCATES EMPOWERM,"SAFE                                               500 INDIANA AVE, NW #4235  ; WASHINGTON  ; DC  ; 20001",WASHINGTON  ,DC
PO319627,OFFICE OF JUSTICE GRANTS ADMINISTRATION,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$800000.00,01/05/2010,THE URBAN INSTITUTE,2100 M STREET NW  ; WASHINGTON  ; DC  ; 20037,WASHINGTON  ,DC
PO319574,DEPARTMENT OF REAL ESTATE SERVICES,"CHILLERS, HEAT EXCHANGERS AND RECEIVERS 13",$98700.00,01/05/2010,RSC ELECTRICAL & MECHANICAL CO,6035 DIX STREET NE  ; WASHINGTON  ; DC  ; 20019,WASHINGTON  ,DC
PO319620,SERVE DC,ADMINISTRATIVE CONSULTING 06,$3432.25,01/05/2010,PEMBROKE WEST ASSOCIATES INC,4435 WISCONSIN AVE NW SUITE 210  ; WASHINGTON  ; DC  ; 20016-,WASHINGTON  ,DC
PO319567,METROPOLITAN POLICE DEPARTMENT,,$48000.00,01/05/2010,NATIONAL LAW ENFORCEMENT TELEC,1918 W. WHISPERING WIND DRIVE   ; PHOENIX  ; AZ  ; 85085-,PHOENIX  ,AZ
PO319614,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TESTING SERVICES 83,$98000.00,01/05/2010,"CAVEON, LLC",6905 SOUTH 1300 EAST #468  ; MIDVALE  ; UT  ; 84047,MIDVALE  ,UT
PO319573,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"BUILDING CONSTRUCTION, RESIDENTIAL (APARTMENTS, ETC.) 23",$100000.00,01/05/2010,"DISTRICT VETERANS CONTRACTING,","3172 BLADENSBURG ROAD, N.E. UNIT B  ; WASHINGTON  ; DC  ; 20018-2204",WASHINGTON  ,DC
PO319562,OFFICE OF CHIEF FINANCIAL OFFICER,"KEYBOARD DUST COVERS, KEY TOP COVERS, KEYBOARD DRAWERS, WRIST SUPPORTS, ETC. 60",$2800.48,01/05/2010,"CDW GOVERNMENT, INC.",230 N MILWAUKEE AVE   ; VERNON HILLS  ; IL  ; 60061-,VERNON HILLS  ,IL
PO319606,UNIVERSITY OF THE DISTRICT OF COLUMBIA,LIBRARY SERVICES (NOT OTHERWISE CLASSIFIED) 38,$250000.00,01/05/2010,WEST PUBLISHING CORP,620 OPPERMAN DRIVE  ; EAGAN  ; MN  ; 55123,EAGAN  ,MN
PO319569,DC PUBLIC LIBRARY,LIBRARY INFORMATION MANAGEMENT SOFTWARE 59,$11935.00,01/05/2010,"DIGICON, LLC",99 SO. ROCK HAMPTON DRIVE  ; MADISON  ; AL  ; 35758-5758,MADISON  ,AL
PO319577,METROPOLITAN POLICE DEPARTMENT,POLICE EQUIPMENT MAINTENANCE AND REPAIR 57,$11000.00,01/05/2010,"HENRY SCHEIN, INC.","135 DURYEA ROAD, MAIL RT.E-255   ; MELVILLE  ; NY  ; 11747-",MELVILLE  ,NY
PO314482,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,URBAN PLANNING CONSULTING 92,$4010.00,01/05/2010,EHRENKRANTZ ECKSTUT & KUHN ARC,161 AVENUE OF THE AMERICAS                         3RD FLOOR  ; NEW YORK  ; NY  ; 10013,NEW YORK  ,NY
PO319615,DEPARTMENT OF HEALTH,"LABORATORY EQUIPMENT AND ACCESSORIES, MAINTENANCE AND REPAIR: FOR GENERAL AND ANALYTICAL RESEARCH USE, NUCLEAR, OPTICAL, PHYSICAL 62",$10500.00,01/05/2010,TRINITY BIOTECH DISTRIBUTION,4 CONNELL DR                                       SUITE 7100  ; BERKELEY HEIGHTS  ; NJ  ; 07922,BERKELEY HEIGHTS  ,NJ
PO319563,OFFICE OF CHIEF FINANCIAL OFFICER,,$3500.00,01/05/2010,INTERNATIONAL BUSINESS MACHINE,4111 NORTHSIDE PARKWAY   ; ATLANTA  ; GA  ; 30327-,ATLANTA  ,GA
