PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO246222,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$28099.00,01/02/2008,GPS NORTH AMERICA,40 STEEPLECHASE DRIVE  ; HOLLAN  ; PA  ; 18966,HOLLAN  ,PA
PO246345,DEPARTMENT ON DISABILITY SERVICES,HUMAN SERVICES 00,$27840.00,01/03/2008,DEVEREUX FOUNDATION,2012 RENAISSANCE BLVD   ; KING OF PRUSSIA  ; PA  ; 19406-,KING OF PRUSSIA  ,PA
PO246347,DEPARTMENT OF TRANSPORTATION,,$14794.00,01/03/2008,PRIME SOURCE TECHNOLOGIES LLC,1010 VERMONT AVENUE N.W SUITE 716  ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO246287,FIRE AND EMERGENCY MEDICAL SERVICES,"EMERGENCY MEDICAL SERVICES (EMS) EQUIPMENT AND SUPPLIES (INCLUDING RESPONSE KITS, LIFE SUPPORT KITS, TRAUMA KITS, ETC.) 37",$9161.32,01/03/2008,"NCS PEARSON, INC",5601 GREEN VALLEY DRIVE  ; BLOOMINGTON  ; MN  ; 55437,BLOOMINGTON  ,MN
PO246385,DEPARTMENT OF TRANSPORTATION,LOCKSMITH SERVICES 48,$5000.00,01/03/2008,UPCO LOCK & SAFE SERVICE,1800 1/2 11TH ST. N.W.  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO246378,DEPART OF YOUTH REHABILITATION SERVICES,PSYCHOLOGISTS/PSYCHOLOGICAL AND PSYCHIATRIC SERVICES (INCLUDING BEHAVORIAL MANAGEMENT SERVICES) 76,$10000.00,01/03/2008,MICHAEL ROBERT KRONEN,15420 GOOD HOPE ROAD  ; SILVER SPRING  ; MD  ; 20905-4128,SILVER SPRING  ,MD
PO241579-V2,DEPARTMENT OF HEALTH,"STORAGE CABINETS, METAL 89",$518328.00,01/03/2008,CHILDREN'S HOSPITAL,111 MICHIGAN AVE NW                                P1-225/FMLY CONNECTIONS  ; WASHINGTON  ; DC  ; 20010,WASHINGTON  ,DC
PO246369,DEPARTMENT OF TRANSPORTATION,"COPY MACHINE, PLAIN PAPER TYPE (INCLUDING COST-PER-COPY TYPE LEASES) RENTAL OR LEASE 26",$28650.93,01/03/2008,GOVERNMENT CAPITAL CORPORATION,345 MIRON DRIVE  ; SOUTHLAKE  ; TX  ; 76092,SOUTHLAKE  ,TX
PO246282,FIRE AND EMERGENCY MEDICAL SERVICES,"EMERGENCY MEDICAL SERVICES (EMS) EQUIPMENT AND SUPPLIES (INCLUDING RESPONSE KITS, LIFE SUPPORT KITS, TRAUMA KITS, ETC.) 37",$37505.83,01/03/2008,"BOCALJE SERVICES, INC.",3215 M. L. K. JR.AVE S.E.   ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO246376,OFF PUBLIC ED FACILITIES MODERNIZATION,"OFFICE SUPPLIES: ERASERS, INKS, LEADS, PENS, PENCILS, ETC. 00",$3269.83,01/03/2008,BRANCH SUPPLY INCORPORATION,1050 17TH STREET NW SUITE 1000  ; WASHINGTON  ; DC  ; 20036-,WASHINGTON  ,DC
PO246394,OFFICE OF CHIEF FINANCIAL OFFICER,"COURSE DEVELOPMENT SERVICES, INSTRUCTIONAL/TRAINING 16",$4850.00,01/03/2008,GEORGETWN UNIV LOMBARDI CANCER,650 PENNSLYVANIA AVE. SE STE 230  ; WASHINGTON  ; DC  ; 20003-,WASHINGTON  ,DC
PO245111-V2,FIRE AND EMERGENCY MEDICAL SERVICES,REMODELING AND ALTERATIONS 65,$10707.00,01/03/2008,TITO CONTRACTORS INC,"7308 GEORGIA AVENUE, NW  ; WASHINGTON  ; DC  ; 20012",WASHINGTON  ,DC
PO246373,DEPARTMENT OF MENTAL HEALTH,DENTAL EQUIPMENT AND SUPPLIES 00,$10000.00,01/03/2008,PATTERSON DENTAL SUPPLY,8975 HENKELS LN                                    SUITE 700  ; ANNAPOLIS JCT  ; MD  ; 20701,ANNAPOLIS JCT  ,MD
PO241780-V2,OFF PUBLIC ED FACILITIES MODERNIZATION,MOBILE OFFICE RENTAL OR LEASE 40,$24353.00,01/03/2008,"ALLIED RENTALS, INC",4907 RUGBY AVENUE  ; BETHESDA  ; MD  ; 20814,BETHESDA  ,MD
PO246341,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,OFFICE EQUIPMENT (NOT COPIERS) 72,$4872.00,01/03/2008,DOCUMENT SYSTEMS INC,"333 HAWAII AVENUE, NE                              SUITE 200  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO246340,EQUIPMENT LEASE - CAPITAL,TELEPHONE SYSTEMS (OVER 60 STATIONS) 57,$26468.00,01/03/2008,"AVAYA, INC.",4250 NORTH FAIRFAX DRIVE                           10TH FLOOR  ; ARLINGTON  ; VA  ; 22203,ARLINGTON  ,VA
PO246359,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CONSULTING SERVICES 00,$18750.00,01/03/2008,ELIZABETH ANN WATKINS,1232 YELLOWSTONE ROAD  ; CLEVELAND HTS  ; OH  ; 44121,CLEVELAND HTS  ,OH
PO246350,DEPARTMENT OF TRANSPORTATION,"ACCOUNTING/FINANCIAL: BOOKKEEPING, BILLING AND INVOICING, BUDGETING, PAYROLL, TAXES, ETC. 10",$10220.00,01/03/2008,DOCUMENT SYSTEMS INC,"333 HAWAII AVENUE, NE                              SUITE 200  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO246356,DC PUBLIC LIBRARY,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",$11669.00,01/03/2008,DOCUMENT SYSTEMS INC,"333 HAWAII AVENUE, NE                              SUITE 200  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO246349,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,COMPUTER HARDWARE CONSULTING 28,$8388.00,01/03/2008,HOUGHTON MIFFLIN CO INC,222 BERKELEY STREET  ; BOSTON  ; MA  ; 02116,BOSTON  ,MA
PO246348,DEPARTMENT OF TRANSPORTATION,"PRINTER ACCESSORIES AND SUPPLIES: CHEMICALS, FORMS TRACTORS, INKS AND CARTRIDGES, LABEL SHEETS, SHEET FEEDERS, TONER CARTRIDGES, WHEELS, ETC. 72",$9899.00,01/03/2008,ABC TECHNICAL SOLUTIONS INC,1100 H STREET NW                                   SUITE 410  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO246384,DEPARTMENT OF TRANSPORTATION,WIRING AND OTHER ELECTRICAL MAINTENANCE AND REPAIR SERVICES 82,$10000.00,01/03/2008,RSC ELECTRICAL & MECHANICAL CO,6035 DIX STREET NE  ; WASHINGTON  ; DC  ; 20019,WASHINGTON  ,DC
PO246358,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TRUCKS (ONE TON AND LESS CAPACITY) 48,$79824.00,01/03/2008,"OURISMAN DODGE, INC.",5900 RICHMOND HWY  ; ALEXANDRIA  ; VA  ; 22303-1894,ALEXANDRIA  ,VA
PO246309,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"TELEVISION RECEIVERS, WIDE SCREEN, PROJECTION TYPE 62",$3862.25,01/03/2008,LASER ART INC,2414 DOUGLAS STREET NE                             SUITE 200  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO246323,FIRE AND EMERGENCY MEDICAL SERVICES,"OFFICE SUPPLIES, GENERAL 00",$12000.00,01/03/2008,US BANK GOVERNMENT SERVICES,"4325 17TH AVE SW  ; FARGO,  ; ND  ; 58103","FARGO,  ",ND
PO246298,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$3000.00,01/03/2008,"PEARSON EDUCATION, INC.",ONE LAKE STREET  ; UPPER SADDLE RIVER  ; NJ  ; 07458,UPPER SADDLE RIVER  ,NJ
PO246210,OFFICE OF CONTRACTING AND PROCUREMENT,CABLE TELEVISION SERVICES (INCLUDES PAY-PER-VIEW SERVICES) 24,$3575.70,01/03/2008,COMCAST CABLE COMMUNICATIONS,"900 MICHIGAN AVENUE, NE  ; WASHINGTON  ; DC  ; 20017",WASHINGTON  ,DC
PO246352,DEPARTMENT OF TRANSPORTATION,,$34352.00,01/03/2008,DIGITAL SAFETYNET INC,4022 5TH STREET NW  ; WASHINGTON  ; DC  ; 20011-5924,WASHINGTON  ,DC
PO236802-V2,DEPARTMENT OF HEALTH,"OFFICE SUPPLIES, GENERAL 00",$55500.00,01/03/2008,US BANK GOVERNMENT SERVICES,"4325 17TH AVE SW  ; FARGO,  ; ND  ; 58103","FARGO,  ",ND
PO246338,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"PANTS, SLACKS, TROUSERS, SHORTS, JEANS, ETC. 44",$9172.70,01/03/2008,"SPORTS EXTRA, INC",7817 OLD GEORGETOWN RD  ; BETHESDA  ; MD  ; 20814,BETHESDA  ,MD
PO246306,"DEPART OF INSURANCE,SECURITIES & BANKING","PRINTERS AND PLOTTERS, COMPUTER (ALL TYPES), RENTAL OR LEASE 60",$9740.88,01/03/2008,XEROX CORPORATION,1301 K STREET NW                                   SUITE 300W  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO246354,DEPARTMENT OF HEALTH,"MISCELLANEOUS SERVICES, NO. 1 00",$122500.00,01/03/2008,FAMILY MEDICAL COUNSELING,2041 MARTIN LUTHER KING JR AVE                     SUITE M-2  SE  ; WASHINGTON  ; DC  ; 20020,WASHINGTON  ,DC
PO246284,FIRE AND EMERGENCY MEDICAL SERVICES,"SCOOPS, SHOVELS, SPADES, SPADING FORKS, ETC. (INCLUDING ENTRENCHING TOOLS) 61",$3936.75,01/03/2008,MTW DISTRIBUTORS INC,1235 KENILWORTH AVE NE                             SUITE#8  ; WASHINGTON  ; DC  ; 20019,WASHINGTON  ,DC
PO246366,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"NETWORKING SERVICES (INCLUDING INSTALLATION, SECURITY, AND MAINTENANCE ) 37",$14869.68,01/03/2008,IRON MOUNTAIN,1000 CAMPUS DRIVE  ; COLLEGEVILLE  ; PA  ; 19426,COLLEGEVILLE  ,PA
PO246428,UNIVERSITY OF THE DISTRICT OF COLUMBIA,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$9900.00,01/04/2008,CANDACE MAYS HEWITT,707 APPOMATTOX RD.  ; DAVIDSONVILLE  ; MD  ; 21035,DAVIDSONVILLE  ,MD
PO246429,OFFICE OF UNIFIED COMMUNICATIONS,COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS 00,$11999.00,01/04/2008,MVS INC,"3630A GEORGIA AVENUE, NW   ; WASHINGTON  ; DC  ; 20010-",WASHINGTON  ,DC
PO246412,DISTRICT OF COLUMBIA RETIREMENT BOARD,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$10000.00,01/04/2008,ERIC O. STANCHFIELD,5220 SHERIER PLACE NW  ; WASHINGTON  ; DC  ; 20016,WASHINGTON  ,DC
PO246406,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TOKENS 88,$29900.00,01/04/2008,WASH METRO AREA TRANSIT AUTH,600 5TH STREET NW  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO242411,CITY ADMINISTRATOR / DEPUTY MAYOR,"COPY MACHINES, DIGITAL TYPE, RENTAL OR LEASE 27",$4566.36,01/04/2008,DIGI DOCS INC DOCUMENT MGERS,510 FLORIDA AVE NW  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO246415,DC PUBLIC LIBRARY,"OFFICE SUPPLIES, GENERAL 00",$2911.20,01/04/2008,MDM OFFICE SYSTEMS DBA,STANDARD BUSINESS FURNITURE                        35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011,WASHINGTON  ,DC
PO246454,DEPARTMENT OF REAL ESTATE SERVICES,"HEATING EQUIPMENT MAINTENANCE AND REPAIR, STEAM 52",$10000.00,01/04/2008,HUNT GRAPHICS/SIGN BY TOMORROW,1594 ROCKVILLE PIKE  ; ROCKVILLE  ; MD  ; 20852,ROCKVILLE  ,MD
PO246432,DEPARTMENT OF EMPLOYMENT SERVICES,CONSULTING SERVICES 00,$30000.00,01/04/2008,HGM MANAGEMENT AND TECH,1150 17TH STREET NW                                SUITE 500  ; WASHINGTON  ; DC  ; 20036,WASHINGTON  ,DC
PO246101-V2,DEPARTMENT OF CORRECTIONS,FOODS: STAPLE GROCERY AND GROCER'S MISCELLANEOUS ITEMS 00,$91393.50,01/04/2008,MTW DISTRIBUTORS INC,1235 KENILWORTH AVE NE                             SUITE#8  ; WASHINGTON  ; DC  ; 20019,WASHINGTON  ,DC
PO246443,DEPARTMENT OF HEALTH,"PRINTER ACCESSORIES AND SUPPLIES: CHEMICALS, FORMS TRACTORS, INKS AND CARTRIDGES, LABEL SHEETS, SHEET FEEDERS, TONER CARTRIDGES, WHEELS, ETC. 72",$12926.29,01/04/2008,LASER ART INC,2414 DOUGLAS STREET NE                             SUITE 200  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO246458,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,COMPUTER SOFTWARE FOR MINI AND MAINFRAME COMPUTERS (PREPROGRAMMED) 00,$3058.30,01/04/2008,"TABLEAU SOFTWARE, INC.",400 NORTH 34TH STREET STE 200  ; SEATTLE  ; WA  ; 98103-,SEATTLE  ,WA
PO241127-V2,OFF PUBLIC ED FACILITIES MODERNIZATION,SOLID OR LIQUID WASTE DISPOSAL (INCLUDING MANAGEMENT SERVICES) (SEE 962-45 FOR HAZARDOUS WASTE DISPOSAL) 71,$21600.00,01/04/2008,PRIVATE JOHN INC. T/A SANIJOHN,5100 SYCAMORE ROAD  ; BELTSVILLE  ; MD  ; 20704,BELTSVILLE  ,MD
PO246396,DEPARTMENT OF REAL ESTATE SERVICES,"WATER SOFTENING EQUIPMENT, ION EXCHANGE TYPE (ALSO SEE 670-92,93) 85",$4000.00,01/04/2008,CULLIGAN WATER COMPANY,7391 WASHINGTON BLVD                               SUITE 100  ; ELKRIDGE  ; MD  ; 21075,ELKRIDGE  ,MD
PO246403,OFFICE OF PEOPLE'S COUNSEL,INSTALLATION OF SECURITY EQUIPMENT 50,$2543.00,01/04/2008,DATAWATCH SYSTEMS,4401 EAST WEST HIGHWAY                             SUITE 500  ; BETHESDA  ; MD  ; 20814,BETHESDA  ,MD
PO246457,DEPT. OF HOUSING AND COMM. DEVELOPMENT,PURCHASING SOFTWARE 71,$7645.75,01/04/2008,"TABLEAU SOFTWARE, INC.",400 NORTH 34TH STREET STE 200  ; SEATTLE  ; WA  ; 98103-,SEATTLE  ,WA
PO246425,UNIVERSITY OF THE DISTRICT OF COLUMBIA,REMODELING AND ALTERATIONS 65,$3300.00,01/04/2008,TITO CONTRACTORS INC,"7308 GEORGIA AVENUE, NW  ; WASHINGTON  ; DC  ; 20012",WASHINGTON  ,DC
PO246465,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"PAPER ITEMS, CLASSROOM: COMPOSITION BOOKS, SCRAPBOOKS, EXAMINATION BOOKLETS, NOTEBOOK FILLER, TABLETS, ETC. 76",$4521.18,01/04/2008,"TRIUMPH LEARNING, COACH BOOKS",136 MADISON AVENUE                                 7TH FLOOR  ; NEW YORK  ; NY  ; 10016,NEW YORK  ,NY
PO242019-V2,DEPARTMENT OF EMPLOYMENT SERVICES,CONSULTING SERVICES 00,$30294.20,01/04/2008,MITACC,"2311 CLAVERT ST, N.W.                              SUITE 214  ; WASHINGTON  ; DC  ; 20020",WASHINGTON  ,DC
PO246399,EQUIPMENT LEASE - CAPITAL,"VEHICLES, INCLUDING AUTOMOBILES, TRUCKS, TRAILERS, VANS, MOTOR HOMES, MOTORCYCLES AND SCOOTERS, ETC. (SEE 998-20 FOR BUSES) 94",$19427.35,01/04/2008,GENERAL SERVICE ADMINISTRATION,1500 EAST BANNISTER ROAD  ; KANSAS CITY  ; MD  ; 64131,KANSAS CITY  ,MD
PO225224-V2,OFFICE OF CHIEF FINANCIAL OFFICER,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$966866.00,01/04/2008,ENTIGENCE CORPORATION,2020 KRAFT DRIVE                                   SUITE 3004  ; BLACKSBURG  ; VA  ; 24060,BLACKSBURG  ,VA
