PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO352134,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$11280.00,01/03/2011,ROBERT MORRIS,413 5TH STREET NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO352130,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"DISPLAYS, EDUCATIONAL: KITS, MODELS, PLAQUES, ETC. 44",$8000.00,01/03/2011,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO352131,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,,$10000.00,01/03/2011,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO352129,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32,$15000.00,01/03/2011,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO352063,COUNCIL OF THE DISTRICT OF COLUMBIA,"FILM PROCESSING, DUPLICATING AND TOUCH UP SERVICES 38",$10350.00,01/03/2011,JLD COMMUNICATIONS,2114 ROSLYN ROAD  ; FORESTVILLE  ; MD  ; 20747,FORESTVILLE  ,MD
PO352110,LOTTERY & CHARITABLE GAMES CONTROL BOARD,BUSINESS CARDS PRINTED 07,$2610.00,01/03/2011,BRENTWORKS,7826 EASTERN AVE. NW                               SUITE 400  ; WASHINGTON  ; DC  ; 20012,WASHINGTON  ,DC
PO343047-V2,DEPARTMENT OF MENTAL HEALTH,"MAINTENANCE AND REPAIR, PARKING LOT AND ALLEY 75",$179063.00,01/03/2011,THE LANE CONSTRUCTION,90 FIELDSTONE COURT  ; CHESHIRE  ; CT  ; 06410,CHESHIRE  ,CT
PO352137,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$11050.00,01/03/2011,SINGAPOREMATH.COM,404 BEAVERCREEK RD #225   ; OREGON CITY  ; OR  ; 97045-,OREGON CITY  ,OR
PO352211,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TUTORING 80,$12000.00,01/04/2011,HEALTHY HABITS,3333 M STREET SE  ; WASHINGTON  ; DC  ; 20019,WASHINGTON  ,DC
PO352276,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BATTERIES, ALL TYPES 15",$7000.00,01/04/2011,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO352284,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$350000.00,01/04/2011,FAIRNESS ENVIRONMENTAL SERVICE,3109 MARTIN LUTHER KING JR. AV  ; WASHINGTON  ; DC  ; 20032,WASHINGTON  ,DC
PO352173,DEPARTMENT OF PUBLIC WORKS,"PAPER CUTTING, DRILLING, FOLDING, PUNCHING, SHREDDING, TRIMMING, ETC. 71",$11970.00,01/04/2011,"SHRED-IT USA, INC.",850 EAST GUDE DRIVE                                SUITE H  ; ROCKVILLE  ; MD  ; 20850,ROCKVILLE  ,MD
PO347976-V2,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"BUILDING CONSTRUCTION, RESIDENTIAL (APARTMENTS, ETC.) 23",$100000.00,01/04/2011,FREEWAY CONSTRUCTION LLC,"1325 18TH STREET, NW SUITE 103  ; WASHINGTON  ; DC  ; 20036",WASHINGTON  ,DC
PO352243,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$183844.63,01/04/2011,MARY MCLEOD BETHUNE DAY ACAD.,"1404 JACKSON STREET, N.E.   ; WASHINGTON  ; DC  ; 20017-",WASHINGTON  ,DC
PO352224,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"ADVISORY SERVICES, EDUCATIONAL 05",$80000.00,01/04/2011,"WESTAT, INC.",1650 RESEARCH BLVD  ; ROCKVILLE  ; MD  ; 20805,ROCKVILLE  ,MD
PO330346-V2,FIRE AND EMERGENCY MEDICAL SERVICES,"ARCHITECT SERVICES, PROFESSIONAL 07",$54425.00,01/04/2011,ADVANCED CONSULTANT .,"4400 MACARTHUR BLVD., NW                           #305  ; WASHINGTON  ; DC  ; 20007",WASHINGTON  ,DC
PO352174,DEPARTMENT OF MOTOR VEHICLES,MAILING EQUIPMENT INCLUDING POSTAGE METER RENTAL OR LEASE 54,$9293.50,01/04/2011,NATIONAL MAILING SYSTEMS,1749 OLD MEADOW ROAD #200  ; MCLEAN  ; VA  ; 22102,MCLEAN  ,VA
PO346886-V2,OFFICE OF CHIEF FINANCIAL OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$42605.60,01/04/2011,NATIONAL MAILING SYSTEMS,1749 OLD MEADOW ROAD #200  ; MCLEAN  ; VA  ; 22102,MCLEAN  ,VA
PO352279,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$350000.00,01/04/2011,JJPS INC.,"605 RALEIGH PLACE, S.E.  ; WASHINGTON  ; DC  ; 20032",WASHINGTON  ,DC
PO352282,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$9490.36,01/04/2011,GROUP 360 LLC,"718 SEVENTH STREET,NW  SUITE 310  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO352185,LOTTERY & CHARITABLE GAMES CONTROL BOARD,STOCKMAN EQUIPMENT AND TOOL MAINTENANCE AND REPAIR 75,$23742.00,01/04/2011,"GARRON LOTTERY PRODUCTS, INC.",5420 PULASKI HIGHWAY  ; BALTIMORE  ; MD  ; 21205,BALTIMORE  ,MD
PO352190,DC PUBLIC LIBRARY,LIBRARY SERVICES (NOT OTHERWISE CLASSIFIED) 38,$28124.79,01/04/2011,"BYTE BACK, INC.",815 MONROE ST NE  ; WASHINGTON  ; DC  ; 20017,WASHINGTON  ,DC
PO352246,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$236631.70,01/04/2011,OPTIONS PUBLIC CHARTER SCHOOL,1375 E STREET NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO352259,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATION AND TRAINING CONSULTING 38,$7991.42,01/04/2011,WASH D.C. JOINT ELEC APPREN.,4371 PARLIAMENT PLACE                              SUITE A  ; LANHAM  ; MD  ; 20706-1807,LANHAM  ,MD
PO352286,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$350000.00,01/04/2011,DIVERSIFIED ENVIRONMENTAL,"2800 10TH STREET, NE   ; WASHINGTON  ; DC  ; 20017-",WASHINGTON  ,DC
PO352269,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$8112.00,01/04/2011,MIDTOWN PERSONNEL INC,"900 7TH STREET, NW SUITE 725  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO352273,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"NOT-FOR-CREDIT CLASSES, SEMINARS, WORKSHOPS, ETC. 60",$6400.00,01/04/2011,TURNING THE PAGE,"1010 VERMONT AVENUE, NW                            SUITE 915  ; WASHINGTON  ; DC  ; 20005",WASHINGTON  ,DC
PO352251,OFFICE OF JUSTICE GRANTS ADMINISTRATION,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$4932.00,01/04/2011,LIFESTARTS YOUTH & FAMILY SERV,"1115 GOOD HOPE ROAD, SE   ; WASHINGTON  ; DC  ; 20020-",WASHINGTON  ,DC
PO352162,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$300000.00,01/04/2011,SASHA BRUCE YOUTHWORK,"741 8TH STREET, SE  ; WASHINGTON  ; DC  ; 20003",WASHINGTON  ,DC
PO352266,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$7500.00,01/04/2011,"CITY SECURITY CONSULTANTS, INC","2010 KENDALL STREET, NE  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO352163,METROPOLITAN POLICE DEPARTMENT,SURVEILLANCE AND COUNTERSURVEILLANCE EQUIPMENT AND SUPPLIES 87,$12480.00,01/04/2011,"MVS, INC.",1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO352177,OFFICE OF THE D.C. AUDITOR,DESKTOP PUBLISHING 39,$3571.80,01/04/2011,"MVS, INC.",1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO336695-V3,DEPARTMENT OF REAL ESTATE SERVICES,"BUILDING CONSTRUCTION, NON-RESIDENTIAL (OFFICE BLDG., ETC.) 22",$8345000.00,01/04/2011,"PEPCO ENERGY SERVICES, INC","701 NINTH STREET, NW                               CUSTOMER SERVICE  ; WASHINGTON  ; DC  ; 20068",WASHINGTON  ,DC
PO352247,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$428667.43,01/04/2011,PAUL JUNIOR HIGH PCS,5800 8TH STREET NW  ; WASHINGTON  ; DC  ; 20011,WASHINGTON  ,DC
PO352281,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$166276.00,01/04/2011,JOHNS HOPKINS UNIVERSITY,1101 EAST 33RD STREET                              SUITE C200  ; BALTIMORE  ; MD  ; 21218,BALTIMORE  ,MD
PO352244,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$408644.73,01/04/2011,MAYA ANGELOU PCS,"1851 9TH STREET, NW  ; WASHINGTON  ; DC  ; 20001",WASHINGTON  ,DC
PO352188,LOTTERY & CHARITABLE GAMES CONTROL BOARD,"FILE DIVIDERS, LABELS, TABS, ETC. 39",$10000.00,01/04/2011,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO352245,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$311913.14,01/04/2011,MERIDIAN PUBLIC CHARTER SCHOOL,"1328 FLORIDA AVENUE, NW  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO343173-V3,DEPARTMENT OF PARKS AND RECREATION,JANITORIAL/CUSTODIAL SERVICES 39,$48400.00,01/04/2011,R&R JANITORIAL PAINTING,1931 15TH STREET NW   ; WASHINGTON  ; DC  ; 20009-,WASHINGTON  ,DC
PO352270,"DEPART OF INSURANCE,SECURITIES & BANKING","APPLICATIONS SOFTWARE FOR MICROCOMPUTER SYSTEMS: BUSINESS, MATHEMATICAL/STATISTICAL, MEDICAL, SCIENTIFIC, ETC. 07",$15277.28,01/04/2011,DOCUMENT SYSTEMS INC,"333 HAWAII AVENUE, NE                              SUITE 200  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO352207,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BUS TRANSPORTATION SERVICES, SCHOOL 16",$3500.00,01/04/2011,MARGIE MONROE DBA/3-L BUS,112 56TH PLACE SE   ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO352271,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BUS TRANSPORTATION SERVICES, SCHOOL 16",$27350.00,01/04/2011,WASH METRO AREA TRANSIT AUTH,600 5TH STREET NW  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO352175,OFFICE OF THE ATTORNEY GENERAL,EDUCATION AND TRAINING CONSULTING 38,$10000.00,01/04/2011,LEXISNEXIS JUSTICELINK EFILE S,FKA LCC HOLDING COMPANY                            13427 NE 16TH STREET/STE100  ; BELLEVUE  ; WA  ; 98005,BELLEVUE  ,WA
PO352232,DEPARTMENT OF MENTAL HEALTH,HOUSEKEEPING SERVICES 56,$54348.00,01/04/2011,MARCELLUS E. COBB,2324 GOOD HOPE ROAD SE #2   ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO352216,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TUTORING 80,$120000.00,01/04/2011,ACHIEVE TUTORING,7735 ORA COURT   ; GREENBELT  ; MD  ; 20770-,GREENBELT  ,MD
PO352272,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,$9568.52,01/04/2011,"PEARSON EDUCATION, INC.",ONE LAKE STREET  ; UPPER SADDLE RIVER  ; NJ  ; 07458,UPPER SADDLE RIVER  ,NJ
PO352265,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BOOKS, REFERENCE: DICTIONARIES, ENCYCLOPEDIAS, ETC. 12",$40464.00,01/04/2011,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO352261,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"COMPUTERS, PARTS AND SUPPLIES 29",$53561.00,01/04/2011,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO352287,OFFICE OF MUNICIPAL PLANNING,HISTORICAL PRESERVATION 48,$4390.00,01/04/2011,NATIONAL CONFERENCE OF STATE,444 N. CAPITOL ST NW SUITE 515  ; WASHINGTON  ; DC  ; 20001-,WASHINGTON  ,DC
PO352181,OFFICE OF THE INSPECTOR GENERAL,DATABASE SOFTWARE 37,$8490.00,01/04/2011,CCH INCORPORATED,2700 LAKE COOK RD   ; RIVERWOODS  ; IL  ; 60015-,RIVERWOODS  ,IL
PO352250,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$148349.87,01/04/2011,POTOMAC LIGHTHOUSE PCS,"LIGHTHOUSE ACADEMIES INC.                          1661 WORCESTER ROAD, SUITE 207  ; WASHINGTON  ; DC  ; 20017",WASHINGTON  ,DC
PO348636-V2,DEPARTMENT OF HUMAN SERVICES,FORMS PRINTING (NOT CONTINUOUS) 36,$23825.88,01/04/2011,"BRENTWORKS, INC.",1776 EYE STREET NW 9TH FLOOR   ; WASHINGTON  ; DC  ; 20006-,WASHINGTON  ,DC
PO352223,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,,$12630.00,01/04/2011,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO352217,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,RECYCLED OFFICE SUPPLIES 73,$32891.40,01/04/2011,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO352233,DEPARTMENT OF MENTAL HEALTH,"WATER FILTERS AND FILTER ELEMENTS (EXCEPT BOILER, PHOTOGRAPHIC DARKROOM, AND SWIMMING POOL): CARTRIDGES, ETC. 78",$101900.00,01/04/2011,CRW MECHANICAL INC.,5807 ELLERBIE STREET  ; LANHAM  ; MD  ; 20706,LANHAM  ,MD
PO352407,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$11000.00,01/05/2011,"SYNTHESIS, INC",395 E BROAD STREET STE 100  ; COLUMBUS  ; OH  ; 43215,COLUMBUS  ,OH
PO352439,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,COPY PAPER - SPECIALIZED HIGH SPEED (INCLUDED RECYCLED) 33,$109400.00,01/05/2011,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO352444,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$10820.00,01/05/2011,ROBERT SHALET,3632 JENIFER STREET NW  ; WASHINGTON  ; DC  ; 20015,WASHINGTON  ,DC
PO351874-V2,HOMELAND SECURITY/EMERGENCY MANAGEMENT,"SIGNAGE, ADVERTISING TYPE (INTERIOR AND EXTERIOR) 62",$3710.00,01/05/2011,"ROADRUNNER GRAPHICS, LLC",7055 KIT KAT RD  ; ELKRIDGE  ; MD  ; 21075,ELKRIDGE  ,MD
PO352442,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$8280.00,01/05/2011,BERNADETTE EICHELBERGER,1727 U STREET NW  ; WASHINGTON  ; DC  ; 20009,WASHINGTON  ,DC
PO352441,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$7752.00,01/05/2011,DEBORAH ZISKA,455 M STREET NW   ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO352420,DEPARTMENT OF MOTOR VEHICLES,SOFTWARE MAINTENANCE/SUPPORT 45,$3396.75,01/05/2011,TELECHECK SERVICES INC,5251 WESTHEIMER                                    SUITE 1000  ; HOUSTON  ; TX  ; 77056,HOUSTON  ,TX
PO352318,DEPARTMENT OF TRANSPORTATION,SOFTWARE MAINTENANCE/SUPPORT 45,$4722.97,01/05/2011,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO352317,FIRE AND EMERGENCY MEDICAL SERVICES,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",$19800.00,01/05/2011,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO352316,STATE SUPERINTENDENT OF EDUCATION (OSSE),PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$110658.00,01/05/2011,LITERACY PRO SYSTEMS INC,2355 CANYON BLVD. SUITE 204  ; BOULDER  ; CO  ; 80302-,BOULDER  ,CO
PO352323,DEPARTMENT OF HEALTH,"LABORATORY EQUIPMENT AND ACCESSORIES: SPECIALIZED, BIOCHEMISTRY, BIOLOGY, CHEMISTRY, ETC., MAINTENANCE AND REPAIR 63",$11145.00,01/05/2011,CEPHEID,904 CARIBBEAN DRIVE   ; SUNNYVALE  ; CA  ; 94089-,SUNNYVALE  ,CA
PO332229,DEPARTMENT OF PARKS AND RECREATION,RECYCLED RECREATIONAL AND PARK EQUIPMENT 48,$53531.00,01/05/2011,CAPITAL CONSTRUCTION GROUP,3321 12TH ST NE  ; WASHINGTON  ; DC  ; 20017,WASHINGTON  ,DC
PO346751,DEPARTMENT OF PARKS AND RECREATION,"ROOFING, GUTTERS, AND DOWNSPOUTS MAINTENANCE AND REPAIR 66",$89405.00,01/05/2011,CAPITAL CONSTRUCTION GROUP,3321 12TH ST NE  ; WASHINGTON  ; DC  ; 20017,WASHINGTON  ,DC
PO346730,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32,$8635.86,01/05/2011,APPLE COMPUTER INC,1 INFINITE LOOP   ; CUPERTINO  ; CA  ; 95014-,CUPERTINO  ,CA
