PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS
PO352130,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"DISPLAYS, EDUCATIONAL: KITS, MODELS, PLAQUES, ETC. 44",8000,01/03/2011,AMERICAN EXPRESS COMPANY,"2975 W CORPORATE LAKES BLVD, WESTON, FL, 33331"
PO352131,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,,10000,01/03/2011,AMERICAN EXPRESS COMPANY,"2975 W CORPORATE LAKES BLVD, WESTON, FL, 33331"
PO352129,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32,15000,01/03/2011,AMERICAN EXPRESS COMPANY,"2975 W CORPORATE LAKES BLVD, WESTON, FL, 33331"
PO352063,COUNCIL OF THE DISTRICT OF COLUMBIA,"FILM PROCESSING, DUPLICATING AND TOUCH UP SERVICES 38",10350,01/03/2011,JLD COMMUNICATIONS,"2114 ROSLYN ROAD, FORESTVILLE, MD, 20747"
PO352110,LOTTERY & CHARITABLE GAMES CONTROL BOARD,BUSINESS CARDS PRINTED 07,2610,01/03/2011,BRENTWORKS,"7826 EASTERN AVE. NW   SUITE 400, WASHINGTON, DC, 20012"
PO343047-V2,DEPARTMENT OF MENTAL HEALTH,"MAINTENANCE AND REPAIR, PARKING LOT AND ALLEY 75",179063,01/03/2011,THE LANE CONSTRUCTION,"90 FIELDSTONE COURT, CHESHIRE, CT, 06410"
PO352137,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,11050,01/03/2011,SINGAPOREMATH.COM,"404 BEAVERCREEK RD #225, OREGON CITY, OR, 97045"
PO352211,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TUTORING 80,12000,01/04/2011,HEALTHY HABITS,"3333 M STREET SE, WASHINGTON, DC, 20019"
PO352276,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BATTERIES, ALL TYPES 15",7000,01/04/2011,AMERICAN EXPRESS COMPANY,"2975 W CORPORATE LAKES BLVD, WESTON, FL, 33331"
PO352284,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,350000,01/04/2011,FAIRNESS ENVIRONMENTAL SERVICE,"3109 MARTIN LUTHER KING JR. AV, WASHINGTON, DC, 20032"
PO352173,DEPARTMENT OF PUBLIC WORKS,"PAPER CUTTING, DRILLING, FOLDING, PUNCHING, SHREDDING, TRIMMING, ETC. 71",11970,01/04/2011,"SHRED-IT USA, INC.","850 EAST GUDE DRIVE, ROCKVILLE, MD, 20850"
PO347976-V2,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"BUILDING CONSTRUCTION, RESIDENTIAL (APARTMENTS, ETC.) 23",100000,01/04/2011,FREEWAY CONSTRUCTION LLC,"1325 18TH STREET NW, WASHINGTON, DC, 20036"
PO352243,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,183844.63,01/04/2011,MARY MCLEOD BETHUNE DAY ACAD.,"1404 JACKSON STREET NE, WASHINGTON, DC, 20017"
PO352224,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"ADVISORY SERVICES, EDUCATIONAL 05",80000,01/04/2011,"WESTAT, INC.","1650 RESEARCH BLVD, ROCKVILLE, MD, 20805"
PO330346-V2,FIRE AND EMERGENCY MEDICAL SERVICES,"ARCHITECT SERVICES, PROFESSIONAL 07",54425,01/04/2011,ADVANCED CONSULTANT .,"4400 MACARTHUR BLVD NW, WASHINGTON, DC, 20007"
PO352174,DEPARTMENT OF MOTOR VEHICLES,MAILING EQUIPMENT INCLUDING POSTAGE METER RENTAL OR LEASE 54,9293.5,01/04/2011,NATIONAL MAILING SYSTEMS,"1749 OLD MEADOW ROAD, MCLEAN, VA, 22102"
PO346886-V2,OFFICE OF CHIEF FINANCIAL OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,42605.6,01/04/2011,NATIONAL MAILING SYSTEMS,"1749 OLD MEADOW ROAD, MCLEAN, VA, 22102"
PO352279,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,350000,01/04/2011,JJPS INC.,"605 RALEIGH PLACE SE, WASHINGTON, DC, 20032"
PO352282,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,9490.36,01/04/2011,GROUP 360 LLC,"718 SEVENTH STREET NW, WASHINGTON, DC, 20001"
PO352185,LOTTERY & CHARITABLE GAMES CONTROL BOARD,STOCKMAN EQUIPMENT AND TOOL MAINTENANCE AND REPAIR 75,23742,01/04/2011,"GARRON LOTTERY PRODUCTS, INC.","5420 PULASKI HIGHWAY, BALTIMORE, MD, 21205"
PO352190,DC PUBLIC LIBRARY,LIBRARY SERVICES (NOT OTHERWISE CLASSIFIED) 38,28124.79,01/04/2011,"BYTE BACK, INC.","815 MONROE ST NE, WASHINGTON, DC, 20017"
PO352246,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,236631.7,01/04/2011,OPTIONS PUBLIC CHARTER SCHOOL,"1375 E STREET NE, WASHINGTON, DC, 20002"
PO352259,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATION AND TRAINING CONSULTING 38,7991.42,01/04/2011,WASH D.C. JOINT ELEC APPREN.,"4371 PARLIAMENT PLACE  SUITE A, LANHAM, MD, 20706"
PO352286,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,350000,01/04/2011,DIVERSIFIED ENVIRONMENTAL,"2800 10TH STREET NE, WASHINGTON, DC, 20017"
PO352269,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,8112,01/04/2011,MIDTOWN PERSONNEL INC,"900 7TH STREET NW, WASHINGTON, DC, 20001"
PO352273,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"NOT-FOR-CREDIT CLASSES, SEMINARS, WORKSHOPS, ETC. 60",6400,01/04/2011,TURNING THE PAGE,"1010 VERMONT AVENUE NW, WASHINGTON, DC, 20005"
PO352251,OFFICE OF JUSTICE GRANTS ADMINISTRATION,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,4932,01/04/2011,LIFESTARTS YOUTH & FAMILY SERV,"1115 GOOD HOPE ROAD, SE, WASHINGTON, DC, 20020"
PO352162,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,300000,01/04/2011,SASHA BRUCE YOUTHWORK,"741 8TH STREET SE, WASHINGTON, DC, 20003"
PO352266,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,7500,01/04/2011,"CITY SECURITY CONSULTANTS, INC","2010 KENDALL STREET NE, WASHINGTON, DC, 20002"
PO352163,METROPOLITAN POLICE DEPARTMENT,SURVEILLANCE AND COUNTERSURVEILLANCE EQUIPMENT AND SUPPLIES 87,12480,01/04/2011,"MVS, INC.","1401 14TH STREET NW, WASHINGTON, DC, 20005"
PO352177,OFFICE OF THE D.C. AUDITOR,DESKTOP PUBLISHING 39,3571.8,01/04/2011,"MVS, INC.","1401 14TH STREET NW, WASHINGTON, DC, 20005"
PO336695-V3,DEPARTMENT OF REAL ESTATE SERVICES,"BUILDING CONSTRUCTION, NON-RESIDENTIAL (OFFICE BLDG., ETC.) 22",8345000,01/04/2011,"PEPCO ENERGY SERVICES, INC","701 NINTH STREET NW, WASHINGTON, DC, 20068"
PO352247,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,428667.43,01/04/2011,PAUL JUNIOR HIGH PCS,"5800 8TH STREET NW, WASHINGTON, DC, 20011"
PO352281,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,166276,01/04/2011,JOHNS HOPKINS UNIVERSITY,"1101 EAST 33RD STREET  SUITE C200, BALTIMORE, MD, 21218"
PO352244,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,408644.73,01/04/2011,MAYA ANGELOU PCS,"1851 9TH STREET NW, WASHINGTON, DC, 20001"
PO352188,LOTTERY & CHARITABLE GAMES CONTROL BOARD,"FILE DIVIDERS, LABELS, TABS, ETC. 39",10000,01/04/2011,CAPITAL SERVICES AND SUPPLIES,"2804 DOUGLAS STREET NE, WASHINGTON, DC, 20018"
PO352245,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,311913.14,01/04/2011,MERIDIAN PUBLIC CHARTER SCHOOL,"1328 FLORIDA AVENUE NW, WASHINGTON, DC, 20009"
PO343173-V3,DEPARTMENT OF PARKS AND RECREATION,JANITORIAL/CUSTODIAL SERVICES 39,48400,01/04/2011,R&R JANITORIAL PAINTING,"1931 15TH STREET NW, WASHINGTON, DC, 20009"
PO352270,"DEPART OF INSURANCE,SECURITIES & BANKING","APPLICATIONS SOFTWARE FOR MICROCOMPUTER SYSTEMS: BUSINESS, MATHEMATICAL/STATISTICAL, MEDICAL, SCIENTIFIC, ETC. 07",15277.28,01/04/2011,DOCUMENT SYSTEMS INC,"333 HAWAII AVENUE NE, WASHINGTON, DC, 20011"
PO352207,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BUS TRANSPORTATION SERVICES, SCHOOL 16",3500,01/04/2011,MARGIE MONROE DBA/3-L BUS,"112 56TH PLACE SE, WASHINGTON, DC, 20019"
PO352271,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BUS TRANSPORTATION SERVICES, SCHOOL 16",27350,01/04/2011,WASH METRO AREA TRANSIT AUTH,"600 5TH STREET NW, WASHINGTON, DC, 20001"
PO352175,OFFICE OF THE ATTORNEY GENERAL,EDUCATION AND TRAINING CONSULTING 38,10000,01/04/2011,LEXISNEXIS JUSTICELINK EFILE S,"13427 NE 16TH STREET, BELLEVUE, WA, 98005"
PO352232,DEPARTMENT OF MENTAL HEALTH,HOUSEKEEPING SERVICES 56,54348,01/04/2011,MARCELLUS E. COBB,"2324 GOOD HOPE ROAD SE, WASHINGTON, DC, 20020"
PO352216,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TUTORING 80,120000,01/04/2011,ACHIEVE TUTORING,"7735 ORA COURT, GREENBELT, MD, 20770"
PO352272,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,9568.52,01/04/2011,"PEARSON EDUCATION, INC.","ONE LAKE STREET, UPPER SADDLE RIVER, NJ, 07458"
PO352265,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BOOKS, REFERENCE: DICTIONARIES, ENCYCLOPEDIAS, ETC. 12",40464,01/04/2011,AMERICAN EXPRESS COMPANY,"2975 W CORPORATE LAKES BLVD, WESTON, FL, 33331"
PO352261,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"COMPUTERS, PARTS AND SUPPLIES 29",53561,01/04/2011,AMERICAN EXPRESS COMPANY,"2975 W CORPORATE LAKES BLVD, WESTON, FL, 33331"
PO352287,OFFICE OF MUNICIPAL PLANNING,HISTORICAL PRESERVATION 48,4390,01/04/2011,NATIONAL CONFERENCE OF STATE,"444 N. CAPITOL ST NW SUITE 515, WASHINGTON, DC, 20001"
PO352181,OFFICE OF THE INSPECTOR GENERAL,DATABASE SOFTWARE 37,8490,01/04/2011,CCH INCORPORATED,"2700 LAKE COOK RD, RIVERWOODS, IL, 60015"
PO352250,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,148349.87,01/04/2011,POTOMAC LIGHTHOUSE PCS,"1661 WORCESTER ROAD, WASHINGTON, DC, 20017"
PO348636-V2,DEPARTMENT OF HUMAN SERVICES,FORMS PRINTING (NOT CONTINUOUS) 36,23825.88,01/04/2011,"BRENTWORKS, INC.","1776 EYE STREET NW, WASHINGTON, DC, 20006"
PO352223,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,,12630,01/04/2011,AMERICAN EXPRESS COMPANY,"2975 W CORPORATE LAKES BLVD, WESTON, FL, 33331"
PO352217,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,RECYCLED OFFICE SUPPLIES 73,32891.4,01/04/2011,AMERICAN EXPRESS COMPANY,"2975 W CORPORATE LAKES BLVD, WESTON, FL, 33331"
PO352233,DEPARTMENT OF MENTAL HEALTH,"WATER FILTERS AND FILTER ELEMENTS (EXCEPT BOILER, PHOTOGRAPHIC DARKROOM, AND SWIMMING POOL): CARTRIDGES, ETC. 78",101900,01/04/2011,CRW MECHANICAL INC.,"5807 ELLERBIE STREET, LANHAM, MD, 20706"
PO352407,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,11000,01/05/2011,"SYNTHESIS, INC","395 E BROAD STREET STE 100, COLUMBUS, OH, 43215"
PO352439,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,COPY PAPER - SPECIALIZED HIGH SPEED (INCLUDED RECYCLED) 33,109400,01/05/2011,AMERICAN EXPRESS COMPANY,"2975 W CORPORATE LAKES BLVD, WESTON, FL, 33331"
PO352444,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,10820,01/05/2011,ROBERT SHALET,"3632 JENIFER STREET NW, WASHINGTON, DC, 20015"
PO351874-V2,HOMELAND SECURITY/EMERGENCY MANAGEMENT,"SIGNAGE, ADVERTISING TYPE (INTERIOR AND EXTERIOR) 62",3710,01/05/2011,"ROADRUNNER GRAPHICS, LLC","7055 KIT KAT RD, ELKRIDGE, MD, 21075"
PO352442,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,8280,01/05/2011,BERNADETTE EICHELBERGER,"1727 U STREET NW, WASHINGTON, DC, 20009"
PO352441,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,7752,01/05/2011,DEBORAH ZISKA,"455 M STREET NW, WASHINGTON, DC, 20001"
PO352420,DEPARTMENT OF MOTOR VEHICLES,SOFTWARE MAINTENANCE/SUPPORT 45,3396.75,01/05/2011,TELECHECK SERVICES INC,"5251 WESTHEIMER, HOUSTON, TX, 77056"
PO352318,DEPARTMENT OF TRANSPORTATION,SOFTWARE MAINTENANCE/SUPPORT 45,4722.97,01/05/2011,DELL COMPUTER CORP.,"ONE DELL WAY, ROUND ROCK, TX, 78682"
PO352317,FIRE AND EMERGENCY MEDICAL SERVICES,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",19800,01/05/2011,DELL COMPUTER CORP.,"ONE DELL WAY, ROUND ROCK, TX, 78682"
PO352316,STATE SUPERINTENDENT OF EDUCATION (OSSE),PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,110658,01/05/2011,LITERACY PRO SYSTEMS INC,"2355 CANYON BLVD. SUITE 204, BOULDER, CO, 80302"
PO352323,DEPARTMENT OF HEALTH,"LABORATORY EQUIPMENT AND ACCESSORIES: SPECIALIZED, BIOCHEMISTRY, BIOLOGY, CHEMISTRY, ETC., MAINTENANCE AND REPAIR 63",11145,01/05/2011,CEPHEID,"904 CARIBBEAN DRIVE, SUNNYVALE, CA, 94089"
PO332229,DEPARTMENT OF PARKS AND RECREATION,RECYCLED RECREATIONAL AND PARK EQUIPMENT 48,53531,01/05/2011,CAPITAL CONSTRUCTION GROUP,"3321 12TH ST NE, WASHINGTON, DC, 20017"
PO346751,DEPARTMENT OF PARKS AND RECREATION,"ROOFING, GUTTERS, AND DOWNSPOUTS MAINTENANCE AND REPAIR 66",89405,01/05/2011,CAPITAL CONSTRUCTION GROUP,"3321 12TH ST NE, WASHINGTON, DC, 20017"
PO346730,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32,8635.86,01/05/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO352412,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,7931.41,01/05/2011,PSYCHOLOGICAL ASSESSMENT RESOU,"16204 N FLORIDA AVE, LUTZ, FL, 33549"
PO352320,DEPARTMENT OF HEALTH,"CHEMICAL TESTING SERVICES (FOR LABORATORY TESTING, SEE 962-22) 31",5713,01/05/2011,"SPEX CERTIPREP GROUP, LLC","203 NORCROSS AVENUE, METUCHEN, NJ, 08840"
PO116558-V2,FIRE AND EMERGENCY MEDICAL SERVICES,BUILDINGS - ARCHITECTURAL DESIGN 10,12285,01/05/2011,"SAMAHA ASSOCIATES, P.C.","9990 LEE HIGHWAY   SUITE 350, FAIRFAX, VA, 22030"
PO352325,DEPARTMENT OF REAL ESTATE SERVICES,"PERSONNEL SERVICES, TEMPORARY 69",17513,01/05/2011,BUSINESS STRATEGY CONSULTANTS,"9701 APOLLO DRIVE SUITE 445, LARGO, MD, 20774"
PO352309,LOTTERY & CHARITABLE GAMES CONTROL BOARD,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,4500,01/05/2011,NATIONAL COUNCIL FOR,"8555 16TH ST, SILVER SPRING, MD, 20910"
PO352414,METROPOLITAN POLICE DEPARTMENT,COMPUTER SOFTWARE CONSULTING 29,109136,01/05/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO340907-V2,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,14292.56,01/05/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO342536-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,34178.67,01/05/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO352314,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"ADMINISTRATION OF CONTRACTS: SUMMARY OF WORK, QUALITY CONTROL, PROJECT CLOSEOUT, ETC. 03",100000,01/05/2011,GEORGE WASHINGTON UNIVERSITY -,"801 22ND STREET NW, WASHINGTON, DC, 20052"
PO352308,CHILD AND FAMILY SERVICES,EDUCATION AND TRAINING CONSULTING 38,5000,01/05/2011,CONSORTIUM FOR CHILD WELFARE,"2120 BLADENSBURG ROAD NE, #106, WASHINGTON, DC, 20018"
PO352380,DEPARTMENT OF PUBLIC WORKS,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",20529.03,01/05/2011,EZTAG CORP,"334 CORNELIA ST. #549, PLATTSBURGH, NY, 12901"
PO352428,DEPARTMENT OF TRANSPORTATION,"CONSTRUCTION, HIGHWAY AND ROAD 27",262519.91,01/05/2011,METRO PAVING COMPANY,"5470 LAFAYETTE PL, HYATTSVILLE, MD, 20781"
PO352331,DEPARTMENT OF TRANSPORTATION,,36400,01/05/2011,CYCON PUBLISHING INC.,"1006 SOMERSET LANE, SILVER SPRING, MD, 20904"
PO352315,OFFICE OF PEOPLE'S COUNSEL,COMPUTER NETWORK CONSULTING 30,9300,01/05/2011,"MVS, INC.","PO BOX 55797, WASHINGTON, DC, 20040"
PO352463,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATIONAL RESEARCH SERVICES 19,13320,01/05/2011,REINGOLD INC,"1415 ELLIOT PL NW, WASHINGTON, DC, 20007"
PO352334,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,GRAPHIC DESIGN SERVICES FOR PRINTING 46,2890,01/05/2011,REINGOLD INC,"1415 ELLIOT PL NW, WASHINGTON, DC, 20007"
PO352426,DEPARTMENT OF TRANSPORTATION,ENGINEERING CONSULTING 42,1000000,01/05/2011,HNTB DISTRICT OF COLUMBIA PC,"300 M STREET SE, WASHINGTON, DC, 20003"
PO331707-V3,DC PUBLIC LIBRARY,SHORING AND REINFORCEMENT SERVICES 71,1.315568754E7,01/05/2011,COAKLEY & WILLIAMS CONST.,"16 SOUTH SUMMIT AVE, GAITHERSBURG, MD, 20877"
PO352328,DC NATIONAL GUARD,"FOR CREDIT CLASSES, SEMINARS, WORKSHOPS, ETC. 25",2935,01/05/2011,BELLEVUE UNIVERSITY,"1000 GALVIN ROAD SOUTH, BELLEVUE, NE, 68005"
PO352369,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,4950,01/05/2011,BERT SMITH & COMPANY,"1090 VERMONT AVE NW, WASHINGTON, DC, 20005"
PO352356,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,6083,01/05/2011,DOCUMENT SYSTEMS INC,"333 HAWAII AVENUE NE, WASHINGTON, DC, 20011"
PO352379,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,41898.78,01/05/2011,NEXT STEP PCS,"1419 COLUMBIA ROAD NW, WASHINGTON, DC, 20009"
PO352445,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,MEMBERSHIP DUES 48,5000,01/05/2011,AMER ALL HEALTH PHYS ED,"1900 ASSOCIATION DRIVE, RESTON, VA, 20191"
